profession_id,profession_name,profession_name_ar,profession_name_hi,qualification_id,qualification_name,qualification_full_name,qualification_type,duration_years,academic_years,has_pg,has_phd,has_internship,specializations
7,Radiographer,فني أشعة,रेडियोग्राफर,radio_bsc,BSc Radiography,Bachelor of Science in Radiography,degree,3,"1st Year|2nd Year|3rd Year",true,false,false,"Diagnostic Radiography|Therapeutic Radiography|CT Scan|MRI|Ultrasound|Nuclear Medicine|Others"
7,Radiographer,فني أشعة,रेडियोग्राफर,radio_msc,MSc Radiography,Master of Science in Radiography,postgraduate,2,"1st Year|2nd Year",false,true,false,"Diagnostic Radiography|Therapeutic Radiography|CT Scan|MRI|Ultrasound|Nuclear Medicine|Others"
8,Anesthesia Technician,فني تخدير,एनेस्थीसिया तकनीशियन,anesthesia_diploma,Diploma in Anesthesia Technology,Diploma in Anesthesia Technology,diploma,2,"1st Year|2nd Year",false,false,false,""
8,Anesthesia Technician,فني تخدير,एनेस्थीसिया तकनीशियन,anesthesia_bsc,BSc Anesthesia Technology,Bachelor of Science in Anesthesia Technology,degree,3,"1st Year|2nd Year|3rd Year",true,false,false,""
8,Anesthesia Technician,فني تخدير,एनेस्थीसिया तकनीशियन,anesthesia_msc,MSc Anesthesia Technology,Master of Science in Anesthesia Technology,postgraduate,2,"1st Year|2nd Year",false,true,false,""
9,Audiologist,أخصائي سمع,ऑडियोलॉजिस्ट,audio_diploma,Diploma in Audiology,Diploma in Audiology and Speech Therapy,diploma,2,"1st Year|2nd Year",false,false,false,"Pediatric Audiology|Diagnostic Audiology|Hearing Aid Dispensing|Cochlear Implants|Speech-Language Therapy|Others"
9,Audiologist,أخصائي سمع,ऑडियोलॉजिस्ट,audio_baslp,BASLP,Bachelor in Audiology and Speech-Language Pathology,degree,4,"1st Year|2nd Year|3rd Year|4th Year",true,false,true,"Pediatric Audiology|Diagnostic Audiology|Hearing Aid Dispensing|Cochlear Implants|Speech-Language Therapy|Others"
9,Audiologist,أخصائي سمع,ऑडियोलॉजिस्ट,audio_maslp,MASLP,Master in Audiology and Speech-Language Pathology,postgraduate,2,"1st Year|2nd Year",false,true,false,"Pediatric Audiology|Diagnostic Audiology|Hearing Aid Dispensing|Cochlear Implants|Speech-Language Therapy|Others"
10,Clinical Psychologist,أخصائي نفسي إكلينيكي,क्लीनिकल साइकोलॉजिस्ट,psych_diploma,Diploma in Clinical Psychology,Diploma in Clinical Psychology,diploma,2,"1st Year|2nd Year",false,false,false,"Child and Adolescent Psychology|Neuropsychology|Health Psychology|Counseling Psychology|Rehabilitation Psychology|Forensic Psychology|Others"
10,Clinical Psychologist,أخصائي نفسي إكلينيكي,क्लीनिकल साइकोलॉजिस्ट,psych_ba,BA Psychology,Bachelor of Arts in Psychology,degree,3,"1st Year|2nd Year|3rd Year",true,false,false,"Child and Adolescent Psychology|Neuropsychology|Health Psychology|Counseling Psychology|Rehabilitation Psychology|Forensic Psychology|Others"
10,Clinical Psychologist,أخصائي نفسي إكلينيكي,क्लीनिकल साइकोलॉजिस्ट,psych_bsc,BSc Psychology,Bachelor of Science in Psychology,degree,3,"1st Year|2nd Year|3rd Year",true,false,false,"Child and Adolescent Psychology|Neuropsychology|Health Psychology|Counseling Psychology|Rehabilitation Psychology|Forensic Psychology|Others"
10,Clinical Psychologist,أخصائي نفسي إكلينيكي,क्लीनिकल साइकोलॉजिस्ट,psych_ma,MA Clinical Psychology,Master of Arts in Clinical Psychology,postgraduate,2,"1st Year|2nd Year",false,true,true,"Child and Adolescent Psychology|Neuropsychology|Health Psychology|Counseling Psychology|Rehabilitation Psychology|Forensic Psychology|Others"
10,Clinical Psychologist,أخصائي نفسي إكلينيकي,क्लीनिकल साइकोलॉजिस्ट,psych_mphil,MPhil Clinical Psychology,Master of Philosophy in Clinical Psychology,postgraduate,2,"1st Year|2nd Year",false,true,true,"Child and Adolescent Psychology|Neuropsychology|Health Psychology|Counseling Psychology|Rehabilitation Psychology|Forensic Psychology|Others"
11,Dietitian,أخصائي تغذية,आहार विशेषज्ञ,diet_diploma,Diploma in Nutrition & Dietetics,Diploma in Nutrition and Dietetics,diploma,2,"1st Year|2nd Year",false,false,false,"Clinical Nutrition|Sports Nutrition|Pediatric Nutrition|Community Nutrition|Food Service Management|Others"
11,Dietitian,أخصائي تغذية,आहार विशेषज्ञ,diet_bsc,BSc Nutrition & Dietetics,Bachelor of Science in Nutrition and Dietetics,degree,3,"1st Year|2nd Year|3rd Year",true,false,true,"Clinical Nutrition|Sports Nutrition|Pediatric Nutrition|Community Nutrition|Food Service Management|Others"
11,Dietitian,أخصائي تغذية,आहार विशेषज्ञ,diet_msc,MSc Nutrition & Dietetics,Master of Science in Nutrition and Dietetics,postgraduate,2,"1st Year|2nd Year",false,true,false,"Clinical Nutrition|Sports Nutrition|Pediatric Nutrition|Community Nutrition|Food Service Management|Others"
12,Social Worker,أخصائي اجتماعي,सामाजिक कार्यकर्ता,social_diploma,Diploma in Social Work,Diploma in Social Work,diploma,2,"1st Year|2nd Year",false,false,false,"Medical Social Work|Psychiatric Social Work|Community Development|Family and Child Welfare|Human Resource Management|Others"
12,Social Worker,أخصائي اجتماعي,सामाजिक कार्यकर्ता,social_bsw,BSW,Bachelor of Social Work,degree,3,"1st Year|2nd Year|3rd Year",true,false,true,"Medical Social Work|Psychiatric Social Work|Community Development|Family and Child Welfare|Human Resource Management|Others"
12,Social Worker,أخصائي اجتماعي,सामाजिक कार्यकर्ता,social_msw,MSW,Master of Social Work,postgraduate,2,"1st Year|2nd Year",false,true,true,"Medical Social Work|Psychiatric Social Work|Community Development|Family and Child Welfare|Human Resource Management|Others"
13,Hospital Administrator,مدير مستشفى,अस्पताल प्रशासक,admin_diploma,Diploma in Hospital Administration,Diploma in Hospital Administration,diploma,2,"1st Year|2nd Year",false,false,false,"Hospital Operations|Quality Assurance|Healthcare Finance|Human Resources|Healthcare IT|Supply Chain Management|Others"
13,Hospital Administrator,مدير مستشفى,अस्पताल प्रशासक,admin_bha,BHA,Bachelor of Hospital Administration,degree,3,"1st Year|2nd Year|3rd Year",true,false,true,"Hospital Operations|Quality Assurance|Healthcare Finance|Human Resources|Healthcare IT|Supply Chain Management|Others"
13,Hospital Administrator,مدير مستشفى,अस्पताल प्रशासक,admin_mha,MHA,Master of Hospital Administration,postgraduate,2,"1st Year|2nd Year",false,true,true,"Hospital Operations|Quality Assurance|Healthcare Finance|Human Resources|Healthcare IT|Supply Chain Management|Others"
13,Hospital Administrator,مدير مستشفى,अस्पताल प्रशासक,admin_mba_hm,MBA (Healthcare Management),Master of Business Administration in Healthcare Management,postgraduate,2,"1st Year|2nd Year",false,true,true,"Hospital Operations|Quality Assurance|Healthcare Finance|Human Resources|Healthcare IT|Supply Chain Management|Others"
14,Others,أخرى,अन्य,others_custom,Custom Qualification,Custom Qualification,custom,0,"",false,false,false,""
